file,line,offset,text,msg
__MACOSX/trading-bot_BTC_cleaned 2/backend/._adaptive_risk_manager.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._analyze_trades_offline.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._app.cleaned.aliases.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._app.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._app_multi_append.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._autotrade_monitor.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._autotrade_monitor_v2.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._collect_paper_history.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._evaluate_microtrades.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._inject_multi_block.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._make_paper_report.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._ml_multiclass.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._optimize_sl_from_history.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._optimize_tp_from_history.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._plot_loss_distribution.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._plot_tp_combo.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._plot_tp_curve.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._rolling_summary.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._secretize_compose.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._sentiment_sources.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._smart_entry.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._smart_entry_rt.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._tri_patch.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/._vieuxapp.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/multiasset_addon/.___init__.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/multiasset_addon/._migrate_snapshots_multi.py,,,,source code string cannot contain null bytes
__MACOSX/trading-bot_BTC_cleaned 2/backend/multiasset_addon/._migrate_trades_multi.py,,,,source code string cannot contain null bytes
